Time;HTI893
11/04/2018  15:22:56;45.852
11/04/2018  15:32:56;44.778
11/04/2018  16:06:56;47.046
11/04/2018  16:20:56;47.541
11/04/2018  16:34:56;48.000
11/04/2018  17:38:56;49.043
11/04/2018  19:38:56;48.808
11/04/2018  21:36:56;48.349
11/04/2018  22:16:56;48.771
11/04/2018  22:42:56;48.349
12/04/2018  00:20:56;47.927
12/04/2018  01:40:56;47.432
12/04/2018  02:44:56;47.119
12/04/2018  03:40:56;47.583
12/04/2018  04:32:56;48.047
12/04/2018  06:32:56;47.890
12/04/2018  08:20:56;48.349
12/04/2018  09:34:56;48.808
12/04/2018  11:32:56;48.771
12/04/2018  12:02:56;49.121
12/04/2018  12:50:56;48.771
12/04/2018  13:52:56;48.313
12/04/2018  15:52:56;48.391
12/04/2018  17:50:56;48.464
12/04/2018  19:50:56;48.349
12/04/2018  21:48:56;48.349
12/04/2018  23:46:56;48.506
13/04/2018  01:46:56;48.047
13/04/2018  02:12:56;47.734
13/04/2018  03:18:56;47.395
13/04/2018  05:16:56;46.968
13/04/2018  06:44:56;47.395
13/04/2018  07:16:56;47.734
13/04/2018  08:16:56;48.047
13/04/2018  08:36:56;48.542
13/04/2018  09:04:56;48.964
13/04/2018  09:16:56;49.272
13/04/2018  09:48:56;49.616
13/04/2018  11:48:56;49.772
13/04/2018  13:48:56;50.043
13/04/2018  15:48:56;50.195
13/04/2018  16:32:56;50.659
13/04/2018  18:30:56;50.659
13/04/2018  19:20:56;50.309
13/04/2018  19:24:56;49.731
13/04/2018  19:34:56;47.697
13/04/2018  19:46:56;46.316
13/04/2018  20:08:56;46.811
13/04/2018  20:36:56;48.506
13/04/2018  20:58:56;48.964
13/04/2018  21:12:56;49.423
13/04/2018  21:50:56;49.887
13/04/2018  23:50:56;50.043
14/04/2018  01:36:56;50.466
14/04/2018  03:36:56;50.659
14/04/2018  04:12:56;50.309
14/04/2018  05:06:56;49.887
14/04/2018  06:20:56;49.392
14/04/2018  08:20:56;49.235
14/04/2018  10:20:56;49.694
14/04/2018  11:28:56;50.153
14/04/2018  12:50:56;50.617
14/04/2018  14:50:56;50.659
14/04/2018  16:48:56;50.961
14/04/2018  18:48:56;50.805
14/04/2018  20:48:56;50.852
14/04/2018  22:46:56;50.659
15/04/2018  00:46:56;50.659
15/04/2018  02:44:56;50.388
15/04/2018  04:42:57;50.195
15/04/2018  05:54:56;49.731
