
Time;HTI889I
11/04/2019  23:05:03;57.436
11/04/2019  23:09:03;57.551
11/04/2019  23:13:03;57.551
11/04/2019  23:15:03;58.166
11/04/2019  23:19:03;58.166
11/04/2019  23:21:03;57.514
11/04/2019  23:39:03;58.010
12/04/2019  01:37:03;58.057
12/04/2019  03:37:03;58.057
12/04/2019  03:51:03;58.166
12/04/2019  03:53:03;57.551
12/04/2019  03:55:03;58.166
12/04/2019  03:57:03;57.551
12/04/2019  04:21:03;57.551
12/04/2019  04:23:03;58.057
12/04/2019  04:35:03;58.010
12/04/2019  04:43:03;58.010
12/04/2019  04:45:03;57.394
12/04/2019  04:47:03;58.010
12/04/2019  05:03:03;57.853
12/04/2019  07:01:03;57.707
12/04/2019  07:53:03;57.707
12/04/2019  07:55:03;58.328
12/04/2019  09:53:03;58.588
12/04/2019  11:23:03;58.588
12/04/2019  11:25:03;59.094
12/04/2019  11:27:03;58.588
12/04/2019  11:29:03;59.094
12/04/2019  11:49:03;58.979
12/04/2019  12:01:03;58.786
12/04/2019  12:03:03;58.010
12/04/2019  12:05:03;58.786
12/04/2019  12:27:03;58.666
12/04/2019  12:29:03;59.287
12/04/2019  13:05:03;59.209
12/04/2019  15:03:03;59.250
12/04/2019  15:49:03;59.094
12/04/2019  15:57:03;59.057
12/04/2019  15:59:03;58.437
12/04/2019  17:01:03;58.437
12/04/2019  17:03:03;58.938
12/04/2019  17:15:03;58.938
12/04/2019  17:17:03;58.437
12/04/2019  17:19:03;58.938
12/04/2019  17:23:03;58.786
12/04/2019  17:47:03;58.745
12/04/2019  17:55:03;58.786
12/04/2019  17:57:03;58.166
12/04/2019  17:59:03;58.745
12/04/2019  18:03:03;58.745
12/04/2019  18:05:03;58.124
12/04/2019  18:17:03;58.249
12/04/2019  19:01:03;58.437
12/04/2019  19:47:03;58.515
12/04/2019  19:49:03;57.900
12/04/2019  19:53:03;58.057
12/04/2019  21:37:03;57.978
12/04/2019  22:17:03;58.202
12/04/2019  22:19:03;57.436
12/04/2019  22:31:03;57.394
12/04/2019  22:33:03;58.010
12/04/2019  22:41:03;57.900
13/04/2019  00:41:03;58.057
13/04/2019  00:45:03;58.166
13/04/2019  00:47:03;57.551
13/04/2019  00:49:03;58.166
13/04/2019  02:07:03;58.588
13/04/2019  02:25:03;58.437
13/04/2019  03:11:03;58.328
13/04/2019  04:13:03;58.474
13/04/2019  04:15:03;57.707
13/04/2019  04:27:03;57.853
13/04/2019  06:27:03;58.328
13/04/2019  06:29:03;57.665
13/04/2019  06:31:03;58.166
13/04/2019  06:57:03;58.166
13/04/2019  06:59:03;57.665
13/04/2019  07:03:03;57.665
13/04/2019  07:05:03;58.166
13/04/2019  07:41:03;58.010
13/04/2019  09:39:03;58.124
13/04/2019  10:01:03;58.166
13/04/2019  10:03:03;58.666
13/04/2019  10:05:03;58.166
13/04/2019  10:21:03;58.474
13/04/2019  11:27:03;58.515
13/04/2019  13:07:03;58.745
13/04/2019  13:47:03;58.823
13/04/2019  13:57:03;59.250
13/04/2019  14:41:03;59.057
13/04/2019  15:27:03;59.172
13/04/2019  15:29:03;58.515
13/04/2019  15:33:03;58.515
13/04/2019  15:35:03;59.016
13/04/2019  15:45:03;58.979
13/04/2019  15:59:03;58.979
13/04/2019  16:01:03;58.474
13/04/2019  16:03:03;58.979
13/04/2019  16:11:03;58.515
13/04/2019  18:11:03;58.666
13/04/2019  19:29:03;58.359
13/04/2019  21:27:03;58.359
13/04/2019  22:05:03;58.328
13/04/2019  22:13:03;58.166
14/04/2019  00:11:03;57.853
14/04/2019  02:09:03;58.166
14/04/2019  02:27:03;58.281
14/04/2019  02:29:03;57.665
14/04/2019  02:47:03;58.010
14/04/2019  04:25:03;57.822
14/04/2019  05:07:03;58.166
14/04/2019  05:17:03;58.010
14/04/2019  07:17:03;58.124
14/04/2019  09:17:03;58.249
14/04/2019  09:49:03;58.588
14/04/2019  10:23:03;58.588
