
Time;HVI878Y
29/05/2018  18:26:35;5.281
29/05/2018  20:26:33;5.274
29/05/2018  22:26:31;5.344
30/05/2018  00:26:29;5.550
30/05/2018  02:26:27;5.485
30/05/2018  04:26:25;5.306
30/05/2018  06:26:23;5.386
30/05/2018  08:26:21;5.306
30/05/2018  10:26:19;5.271
30/05/2018  12:26:17;5.193
30/05/2018  14:26:15;5.159
30/05/2018  16:26:13;5.264
30/05/2018  18:26:11;5.344
30/05/2018  20:26:09;5.354
30/05/2018  22:26:07;5.112
31/05/2018  00:26:05;5.191
31/05/2018  02:26:03;5.224
31/05/2018  04:26:01;5.247
31/05/2018  06:25:59;5.321
31/05/2018  08:25:57;5.272
31/05/2018  10:25:55;4.998
31/05/2018  11:48:16;5.345
31/05/2018  11:48:16;5.345
31/05/2018  11:49:00;5.214
31/05/2018  13:48:55;5.127
31/05/2018  15:48:53;5.452
31/05/2018  17:48:51;5.339
31/05/2018  19:48:49;5.548
31/05/2018  21:48:47;5.230
31/05/2018  23:48:45;5.292
01/06/2018  01:48:43;5.475
01/06/2018  03:48:41;5.336
01/06/2018  05:48:39;5.344
01/06/2018  07:48:37;5.068
01/06/2018  09:48:35;5.062
01/06/2018  11:48:33;5.328
01/06/2018  13:48:31;5.355
01/06/2018  15:48:29;5.571
01/06/2018  17:48:27;5.587
01/06/2018  19:48:25;5.167
01/06/2018  21:36:11;5.491
01/06/2018  23:36:09;5.376
02/06/2018  01:36:07;5.337
02/06/2018  03:36:05;5.248
02/06/2018  05:36:03;5.387
02/06/2018  07:36:01;5.386
02/06/2018  09:35:59;5.483
02/06/2018  11:35:57;5.436
02/06/2018  13:35:55;5.313
02/06/2018  15:35:53;5.402
02/06/2018  17:35:51;5.354
02/06/2018  19:35:49;5.376
02/06/2018  21:35:47;5.993
02/06/2018  21:53:04;5.360
02/06/2018  23:53:02;5.631
03/06/2018  01:53:00;5.230
03/06/2018  03:52:58;5.435
03/06/2018  05:52:56;5.412
03/06/2018  07:52:54;5.248
03/06/2018  09:52:52;5.339
03/06/2018  11:52:50;5.394
03/06/2018  13:52:48;5.539
03/06/2018  15:52:46;5.410
03/06/2018  17:52:44;5.467
03/06/2018  19:52:42;5.451
03/06/2018  21:52:40;5.550
03/06/2018  23:52:38;5.393
04/06/2018  01:52:36;5.387
04/06/2018  03:52:34;5.564
04/06/2018  05:52:32;5.306
04/06/2018  07:52:30;5.420
04/06/2018  09:52:28;5.354
04/06/2018  11:52:26;5.258
04/06/2018  13:52:24;5.360
04/06/2018  15:52:22;5.242
04/06/2018  17:52:20;5.469
04/06/2018  19:52:18;5.321
04/06/2018  21:52:16;5.469
04/06/2018  23:52:14;5.321
05/06/2018  01:52:12;5.394
05/06/2018  03:52:10;5.339
05/06/2018  05:52:08;5.378
05/06/2018  07:52:06;5.313
05/06/2018  09:52:04;5.394
05/06/2018  11:52:02;5.475
05/06/2018  13:52:00;5.483
05/06/2018  15:51:58;5.474
05/06/2018  17:51:56;5.475
05/06/2018  19:29:32;5.808
05/06/2018  21:29:30;6.286
05/06/2018  23:29:28;6.307
06/06/2018  01:29:26;6.351
06/06/2018  03:29:24;6.190
06/06/2018  05:29:22;6.571
06/06/2018  07:29:20;6.604
06/06/2018  09:29:18;6.464
06/06/2018  11:29:16;6.468
06/06/2018  13:29:14;6.424
06/06/2018  15:29:12;6.532
06/06/2018  17:29:10;6.659
06/06/2018  19:29:08;6.472
06/06/2018  21:29:06;6.652
06/06/2018  23:29:04;6.560
07/06/2018  01:29:02;6.586
07/06/2018  03:29:00;6.505
07/06/2018  05:28:58;6.634
07/06/2018  07:28:56;6.595
07/06/2018  09:28:54;6.756
07/06/2018  11:28:52;6.513
07/06/2018  13:28:50;6.578
07/06/2018  15:28:48;6.604
07/06/2018  17:28:46;6.587
07/06/2018  19:28:44;6.555
07/06/2018  21:28:42;6.722
07/06/2018  23:28:40;6.620
08/06/2018  01:28:38;6.685
08/06/2018  03:28:36;6.668
08/06/2018  05:28:34;6.668
08/06/2018  07:28:32;6.803
08/06/2018  09:28:30;6.690
08/06/2018  11:28:28;6.602
08/06/2018  13:28:26;6.521
08/06/2018  15:28:24;6.618
08/06/2018  17:28:22;6.651
